Disease1	Disease2	weight	comorbid	colors	pathway
C11	C64	0.445730900843078	no	#4A74A9	Cell Cycle
C11	C67	0.386906242293394	no	#4A74A9	Cell Cycle
C11	C71	0.353454626306999	no	#4A74A9	Cell Cycle
C11	C73	0.360349059293209	no	#4A74A9	Cell Cycle
C11	C74	0.576675027709739	no	#4A74A9	Cell Cycle
C11	C84	0.242118985746146	no	#4A74A9	Cell Cycle
C11	C93	0.182978850204375	no	#4A74A9	Cell Cycle
C11	J32	0.276052964549611	no	#4A74A9	Cell Cycle
C11	J45	0.290064809019745	no	#4A74A9	Cell Cycle
C11	K13	0.165969980615653	no	#4A74A9	Cell Cycle
C11	K70	0.271704959792727	no	#4A74A9	Cell Cycle
C11	L40	0.395299172142656	no	#4A74A9	Cell Cycle
C11	L70	0.266222147259386	no	#4A74A9	Cell Cycle
C11	L71	0.265561724531724	no	#4A74A9	Cell Cycle
C11	Q98	0.28995291448391	no	#4A74A9	Cell Cycle
C14	C15	0.642967838946213	no	#4A74A9	Cell Cycle
C14	C16	0.57361638440214	no	#4A74A9	Cell Cycle
C14	C18	0.523984133658658	no	#4A74A9	Cell Cycle
C14	C22	0.409131726798924	no	#4A74A9	Cell Cycle
C14	C25	0.474357354847428	no	#4A74A9	Cell Cycle
C14	C34	0.415372490783844	no	#4A74A9	Cell Cycle
C14	C38	0.369890061545495	no	#4A74A9	Cell Cycle
C14	C49	0.269370155372218	no	#4A74A9	Cell Cycle
C14	C64	0.433645364195446	no	#4A74A9	Cell Cycle
C14	C67	0.582575366716103	no	#4A74A9	Cell Cycle
C14	C71	0.396253169596315	no	#4A74A9	Cell Cycle
C14	C73	0.566319784486812	no	#4A74A9	Cell Cycle
C14	C74	0.300945725383934	no	#4A74A9	Cell Cycle
C14	C84	0.188635984736461	no	#4A74A9	Cell Cycle
C14	G71	0.182366329281386	no	#4A74A9	Cell Cycle
C14	J32	0.193828612372025	no	#4A74A9	Cell Cycle
C14	K12	0.525372511447313	no	#4A74A9	Cell Cycle
C14	K13	1	no	#4A74A9	Cell Cycle
C14	K50	0.338068025130711	no	#4A74A9	Cell Cycle
C14	K51	0.290897229789477	no	#4A74A9	Cell Cycle
C14	K58	0.422334253823137	no	#4A74A9	Cell Cycle
C14	K70	0.303499460486182	no	#4A74A9	Cell Cycle
C14	L40	0.358643289999915	no	#4A74A9	Cell Cycle
C14	L70	0.544894073413318	no	#4A74A9	Cell Cycle
C14	L71	0.494009062676635	no	#4A74A9	Cell Cycle
C14	M33	0.354567489416106	no	#4A74A9	Cell Cycle
C14	Q98	0.301447119976745	no	#4A74A9	Cell Cycle
C15	C16	0.429799051923397	yes	#4A74A9	Cell Cycle
